,aid,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
87,272,15174,26003,1108416,35,102,0,6
88,561,44008,100565,808799,79,21,0,4
89,164,370,241577,474978,35,67,113,9
90,1375,370,67127,249293,35,27,113,9
91,519,370,358059,577602,22,67,113,9
92,1819,10055,169332,1562482,53,192,0,6
93,1335,9106,645468,1769240,79,21,0,4
94,960,702,52258,1655556,59,10,4669,11
95,1847,2509,141893,1394962,35,81,1313,9
96,1503,79,2295,1230210,59,10,38,11
97,792,8350,331396,1564743,22,59,0,4
98,2205,370,286844,1149439,22,67,113,9
99,1351,7229,17378,1203413,35,24,6131,11
100,1728,8203,42625,884105,59,218,0,6
101,1496,702,52258,1673644,59,10,4669,11
102,369,66025,170445,1229175,109,94,0,4
103,725,370,170485,1485462,22,67,113,9
104,727,5552,7686,1473655,35,67,113,9
105,699,1082,295940,731679,59,13,0,6
106,313,243,531344,979528,22,27,113,9
107,2197,9106,132657,700445,79,21,0,4
108,1027,915,31020,1266652,22,51,0,4
109,2047,11459,18296,20199,91,94,0,4
110,1119,3993,63752,798752,59,10,19256,11
111,1449,285,13953,1724522,42,30,0,6
112,886,1082,49189,333622,42,13,0,6
113,1580,8203,27030,72027,59,142,0,6
114,975,8494,76011,913588,59,24,4666,11
115,74,8668,13044,108752,35,10,4772,11
116,136,452,50305,1187573,35,10,7992,11
117,311,915,994,27461,60,51,0,4
118,1140,43189,98158,1305307,22,43,28986,9
119,1910,23805,61383,326633,42,149,14314,11
120,7,3387,163957,221432,42,137,3826,11
121,1827,17597,51385,1236432,35,27,0,6
122,1483,1082,40405,418462,53,13,0,6
123,613,915,31020,546986,22,51,0,4
124,1746,75748,204378,287080,22,121,0,4
125,1790,8494,12711,1636465,42,24,4666,11
126,1230,9619,40877,46884,53,40,0,4
127,692,6946,296367,455396,59,24,3794,11
128,1596,24704,48236,181137,35,27,113,9
129,1671,702,15634,332490,35,34,5615,11
130,212,8203,47118,1083491,77,218,0,6
131,543,1082,295940,1391569,59,22,0,6
132,939,3993,84178,104188,59,100,24947,11
133,932,1025,1123,1806760,42,24,542,11
134,1379,8864,90700,469197,22,27,113,9
135,411,9106,163120,220179,79,21,0,4
136,2112,149,155063,750122,53,10,70,11
137,18,8203,74452,857791,95,218,0,6
138,1970,71505,188857,797661,35,67,0,4
139,1894,17597,51385,638911,35,27,0,6
140,2201,101662,308103,477814,42,77,0,4
141,1841,8668,57846,904288,42,10,17614,11
142,6,7565,766460,1702986,35,94,0,4
143,516,702,20048,1106145,42,24,5615,11
144,2066,14818,286065,1075635,109,27,113,9
145,624,5459,18683,1735807,59,218,0,6
146,1605,11195,19215,1755470,53,140,0,4
147,1377,388,209098,1146648,35,27,113,9
148,914,47823,111645,141973,100,21,0,4
149,12,388,420987,1612095,35,67,113,9
150,2169,16770,38402,43877,35,89,9760,9
151,1182,8494,42614,818363,22,24,4666,11
152,70,327,5616,5977,22,27,113,9
153,98,2775,3372,130171,22,59,0,4
154,1201,5552,68476,1172593,35,27,113,9
155,286,25485,104406,131847,42,51,15454,11
156,2118,11195,19215,1012717,53,140,0,4
157,173,6937,186348,267290,35,89,3791,9
158,1512,702,20048,1246897,42,34,5615,11
159,748,8203,37818,202309,59,142,0,6
160,1566,6946,296367,520004,59,24,3794,11
161,2044,49772,487541,869346,35,9,0,9
162,1085,8203,134120,644672,77,218,0,6
163,454,702,76252,1442655,22,24,5615,11
164,916,17597,51385,838056,35,25,0,6
165,688,915,994,1753448,60,51,0,4
166,660,104071,473537,1160702,100,21,0,4
167,1635,2775,3372,145496,22,59,0,4
168,1918,158679,643438,1690612,60,4,0,4
169,1530,11437,18237,1099732,100,21,0,4
170,389,9106,662422,1354071,79,21,0,4
171,1940,5552,30399,530889,35,27,113,9
172,2013,6937,186348,1427984,35,89,3791,9
